n,seconds
700,0.0148226130
701,0.0148236450
702,0.0151820610
703,0.0153224680
704,0.0153462530
705,0.0157238870
706,0.0167587860
707,0.0159330720
708,0.0155747910
709,0.0156931980
710,0.0158815000
711,0.0155991540
712,0.0151605450
713,0.0150705660
714,0.0154079090
715,0.0153298620
716,0.0154120410
717,0.0164270190
718,0.0161986880
719,0.0159435920
720,0.0167450140
721,0.0157141530
722,0.0162749900
723,0.0163681730
724,0.0157926860
725,0.0161061010
726,0.0164737140
727,0.0158783490
728,0.0163090780
729,0.0162828260
730,0.0163343960
731,0.0200667050
732,0.0166124230
733,0.0165022560
734,0.0163093350
735,0.0164151140
736,0.0163567330
737,0.0166032600
738,0.0168072540
739,0.0162509300
740,0.0164208120
741,0.0164654170
742,0.0165358730
743,0.0174151780
744,0.0175159740
745,0.0174281240
746,0.0174522290
747,0.0163356190
748,0.0134703590
749,0.0129623010
750,0.0136413320
751,0.0148934760
752,0.0175116990
753,0.0169304370
754,0.0176260840
755,0.0177200640
756,0.0181738850
757,0.0189167450
758,0.0190897580
759,0.0179375470
760,0.0178953380
761,0.0182151180
762,0.0186546300
763,0.0181725130
764,0.0179070590
765,0.0201519970
766,0.0182829700
767,0.0177374550
768,0.0186116440
769,0.0187152720
770,0.0181448010
771,0.0181450850
772,0.0185216370
773,0.0184548140
774,0.0189899980
775,0.0185301000
776,0.0189663360
777,0.0306419160
778,0.0193465480
779,0.0205172590
780,0.0189881530
781,0.0198211250
782,0.0195503180
783,0.0187416090
784,0.0187522750
785,0.0210898530
786,0.0186553310
787,0.0188962460
788,0.0185523090
789,0.0188854700
790,0.0195883530
791,0.0193770340
792,0.0208065960
793,0.0197428660
794,0.0191022950
795,0.0177362480
796,0.0149371890
797,0.0145535690
798,0.0147985770
799,0.0270338630
800,0.0158003090
801,0.0159061910
802,0.0156726970
803,0.0167061020
804,0.0185254000
805,0.0198030860
806,0.0196960650
807,0.0199022050
808,0.0200609420
809,0.0201107610
810,0.0199554920
811,0.0201728970
812,0.0200603880
813,0.0201072910
814,0.0207963750
815,0.0205233120
816,0.0201386980
817,0.0202549750
818,0.0204440420
819,0.0203333910
820,0.0203537270
821,0.0206220620
822,0.0217157100
823,0.0283314320
824,0.0253969360
825,0.0247047250
826,0.0233197760
827,0.0218168280
828,0.0246095710
829,0.0289196880
830,0.0224904170
831,0.0212092950
832,0.0210908590
833,0.0234177280
834,0.0211612060
835,0.0223589000
836,0.0219691440
837,0.0222637740
838,0.0211347100
839,0.0216522570
840,0.0219172790
841,0.0213090750
842,0.0325148750
843,0.0250052810
844,0.0213247760
845,0.0215663680
846,0.0244505050
847,0.0220460800
848,0.0214547440
849,0.0223293700
850,0.0311500780
851,0.0224549550
852,0.0219561580
853,0.0224654540
854,0.0252115220
855,0.0270379290
856,0.0224224380
857,0.0222274450
858,0.0266028970
859,0.0224867180
860,0.0224143430
861,0.0225240020
862,0.0229806250
863,0.0237509380
864,0.0234090740
865,0.0233973410
866,0.0232931580
867,0.0230065550
868,0.0236883820
869,0.0237819230
870,0.0235780100
871,0.0232288550
872,0.0236756820
873,0.0234705760
874,0.0234092550
875,0.0278741330
876,0.0236501960
877,0.0230821040
878,0.0231840880
879,0.0240878650
880,0.0241413210
881,0.0232957760
882,0.0241005320
883,0.0241850130
884,0.0246471400
885,0.0269946070
886,0.0249150930
887,0.0257996710
888,0.0279824460
889,0.0252757850
890,0.0251862410
891,0.0260243760
892,0.0246879100
893,0.0306713360
894,0.0262216090
895,0.0243620760
896,0.0255703420
897,0.0248947010
898,0.0298182310
899,0.0251818980
900,0.0250804880
901,0.0257824010
902,0.0250303910
903,0.0257673650
904,0.0279397410
905,0.0260568510
906,0.0260628760
907,0.0248840730
908,0.0250114280
909,0.0254561730
910,0.0246593190
911,0.0249455930
912,0.0251478660
913,0.0259695020
914,0.0278994760
915,0.0256654200
916,0.0259555250
917,0.0259927950
918,0.0259727580
919,0.0271509180
920,0.0262192220
921,0.0289531240
922,0.0277166890
923,0.0264758810
924,0.0258793900
925,0.0280498990
926,0.0262041390
927,0.0261987670
928,0.0259687950
929,0.0263765370
930,0.0264205360
931,0.0268627270
932,0.0271637390
933,0.0281102800
934,0.0273701060
935,0.0276794300
936,0.0268768140
937,0.0267571120
938,0.0267421660
939,0.0280925560
940,0.0272366840
941,0.0267977870
942,0.0296038590
943,0.0331339480
944,0.0297093620
945,0.0275427140
946,0.0269928960
947,0.0273209770
948,0.0275611810
949,0.0301385950
950,0.0278225470
951,0.0275276530
952,0.0273261640
953,0.0284809210
954,0.0275252470
955,0.0278167430
956,0.0275885900
957,0.0282200070
958,0.0276317790
959,0.0288483050
960,0.0278238890
961,0.0281685000
962,0.0286104070
963,0.0407707190
964,0.0317466830
965,0.0298649740
966,0.0359796950
967,0.0362369530
968,0.0408882970
969,0.0321766180
970,0.0319614000
971,0.0312904700
972,0.0323864850
973,0.0302546650
974,0.0317835360
975,0.0298747990
976,0.0315540270
977,0.0302611100
978,0.0294852940
979,0.0304939140
980,0.0293771550
981,0.0358336950
982,0.0296046660
983,0.0297185210
984,0.0315102760
985,0.0311999720
986,0.0305723380
987,0.0300151800
988,0.0295678700
989,0.0301699220
990,0.0305234460
991,0.1118835360
992,0.0447107160
993,0.0310702120
994,0.0305506520
995,0.0304521080
996,0.0311012450
997,0.0335998110
998,0.0327260410
999,0.0327766580
1000,0.0319246700
1001,0.0308939630
1002,0.0316454450
1003,0.0322044780
1004,0.0313626280
1005,0.0318403960
1006,0.0339930870
1007,0.0313924890
1008,0.0318220440
1009,0.0313783110
1010,0.0338951010
1011,0.0313984990
1012,0.0309065990
1013,0.0320553620
1014,0.0314947030
1015,0.0312903130
1016,0.0326045800
1017,0.0324213660
1018,0.0331506460
1019,0.0320399950
1020,0.0316678740
1021,0.0318848400
1022,0.0320812260
1023,0.0317884640
1024,0.0316538430
1025,0.0326655790
1026,0.0351463090
1027,0.0325952060
1028,0.0330519970
1029,0.0377766550
1030,0.0351996030
1031,0.0331867910
1032,0.0324717980
1033,0.0322271490
1034,0.0397110260
1035,0.0351950650
1036,0.0365005490
1037,0.0345445460
1038,0.0328822020
1039,0.0374552550
1040,0.0342806830
1041,0.0336923040
1042,0.0330534570
1043,0.0333927680
1044,0.0338933470
1045,0.0338086420
1046,0.0357014730
1047,0.0344635230
1048,0.0340511830
1049,0.0335022580
1050,0.0340625900
1051,0.0352162100
1052,0.0356025470
